Date,Name,Year,Letterboxd URI,Rating
2026-01-07,Bugonia,2025,https://boxd.it/qeWY,3.5
2026-01-07,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,4
2026-01-07,Crazy Rich Asians,2018,https://boxd.it/gfnK,3
2026-01-07,The Batman,2022,https://boxd.it/eDGs,4
2026-01-07,Trainspotting,1996,https://boxd.it/29XY,4.5
2026-01-07,A Real Pain,2024,https://boxd.it/CjNG,3.5
2026-01-07,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2026-01-07,Oppenheimer,2023,https://boxd.it/wUow,3.5
2026-01-07,Dune: Part Two,2024,https://boxd.it/pUfA,5
2026-01-07,The Substance,2024,https://boxd.it/zanS,3
2026-01-07,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2026-01-07,It,2017,https://boxd.it/bC8e,3
2026-01-07,Project X,2012,https://boxd.it/neO,2.5
2026-01-07,Oldboy,2003,https://boxd.it/29R2,4
2026-01-07,Materialists,2025,https://boxd.it/GZlW,3
2026-01-07,A Complete Unknown,2024,https://boxd.it/oBYa,4
2026-01-07,Back to the Future,1985,https://boxd.it/2b8e,4
2026-01-07,It's a Wonderful Life,1946,https://boxd.it/28xA,5
2026-01-07,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5
2026-01-07,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4
2026-01-07,The Phoenician Scheme,2025,https://boxd.it/H0Ca,3
2026-01-07,Shutter Island,2010,https://boxd.it/1U82,4.5
2026-01-07,A Beautiful Mind,2001,https://boxd.it/2amk,4.5
2026-01-07,Tenet,2020,https://boxd.it/leq4,2.5
2026-01-07,The Truman Show,1998,https://boxd.it/18U8,4
2026-01-07,Dune,2021,https://boxd.it/fA7G,4
2026-01-07,Your Name.,2016,https://boxd.it/cUqs,4
2026-01-07,Interstellar,2014,https://boxd.it/4VZ8,3.5
2026-01-07,The Imitation Game,2014,https://boxd.it/6aig,4
2026-01-07,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,4.5
2026-01-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2026-01-07,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4.5
2026-01-07,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4
2026-01-07,Fight Club,1999,https://boxd.it/2a9q,4
2026-01-07,Notting Hill,1999,https://boxd.it/2aeK,2.5
2026-01-07,Se7en,1995,https://boxd.it/29zs,4.5
2026-01-07,Pulp Fiction,1994,https://boxd.it/29Pq,5
2026-01-07,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,3.5
2026-01-07,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,4
2026-01-07,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,2
2026-01-07,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,3
2026-01-07,Get Out,2017,https://boxd.it/eOCm,4
2026-01-07,Back to the Future Part II,1989,https://boxd.it/2aYI,3.5
2026-01-07,Back to the Future Part III,1990,https://boxd.it/2aTS,3
2026-01-07,Superbad,2007,https://boxd.it/20hO,5
2026-01-07,21 Jump Street,2012,https://boxd.it/J0,3.5
2026-01-07,22 Jump Street,2014,https://boxd.it/5Fvy,3
2026-01-07,Mean Girls,2004,https://boxd.it/1VNg,3.5
2026-01-07,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,2.5
2026-01-07,Rocky,1976,https://boxd.it/28Uk,4.5
2026-01-07,Rocky II,1979,https://boxd.it/28Ua,4
2026-01-07,Rocky III,1982,https://boxd.it/28Tw,3.5
2026-01-07,EuroTrip,2004,https://boxd.it/1YTQ,2.5
2026-01-07,Joker,2019,https://boxd.it/h4cS,4.5
2026-01-07,Joker: Folie à Deux,2024,https://boxd.it/xBoE,1.5
2026-01-07,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,2
2026-01-07,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,4
2026-01-07,Deadpool,2016,https://boxd.it/9fOC,3.5
2026-01-07,Deadpool 2,2018,https://boxd.it/dlLM,4
2026-01-07,Deadpool & Wolverine,2024,https://boxd.it/jq8s,3
2026-01-07,Gladiator,2000,https://boxd.it/2b9m,4
2026-01-07,The Hangover,2009,https://boxd.it/1GjK,3.5
2026-01-07,Taxi Driver,1976,https://boxd.it/2b8y,3
2026-01-07,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
2026-01-07,The Social Network,2010,https://boxd.it/17ue,4.5
2026-01-07,Arrival,2016,https://boxd.it/aNGk,4
2026-01-07,Soul,2020,https://boxd.it/ioLA,3.5
2026-01-07,The Hunger Games,2012,https://boxd.it/2uds,2
2026-01-07,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ,3.5
2026-01-07,My Neighbor Totoro,1988,https://boxd.it/20eA,3
2026-01-07,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2026-01-07,Forrest Gump,1994,https://boxd.it/728,4
2026-01-07,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2026-01-07,Home Alone,1990,https://boxd.it/29Fg,3.5
2026-01-07,American Psycho,2000,https://boxd.it/28Vs,2.5
2026-01-07,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,4.5
2026-01-07,Inception,2010,https://boxd.it/1skk,4
2026-01-07,Howl's Moving Castle,2004,https://boxd.it/23De,3.5
2026-01-07,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2026-01-07,Memento,2000,https://boxd.it/2bcK,3.5
2026-01-07,Jurassic Park,1993,https://boxd.it/2aA2,4
2026-01-07,The Matrix,1999,https://boxd.it/2a1m,4
2026-01-07,Iron Man,2008,https://boxd.it/28dA,3.5
2026-01-07,Baby Driver,2017,https://boxd.it/bhF2,3.5
2026-01-07,Anyone But You,2023,https://boxd.it/EzA8,1
2026-01-07,Requiem for a Dream,2000,https://boxd.it/29VI,5
2026-01-07,The Avengers,2012,https://boxd.it/1xFW,3
2026-01-07,The Departed,2006,https://boxd.it/28MA,4.5
2026-01-07,John Wick,2014,https://boxd.it/7dEc,4.5
2026-01-07,The Lego Batman Movie,2017,https://boxd.it/azp0,4
2026-01-07,Her,2013,https://boxd.it/4O24,3.5
2026-01-07,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2026-01-07,Captain America: The First Avenger,2011,https://boxd.it/28b0,3
2026-01-07,The Boy and the Heron,2023,https://boxd.it/ipeM,3.5
2026-01-07,The Fall Guy,2024,https://boxd.it/s0Bm,3
2026-01-07,Spider-Man: Far From Home,2019,https://boxd.it/fegG,3
2026-01-07,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,3.5
2026-01-07,Iron Man 2,2010,https://boxd.it/1WZM,2.5
2026-01-07,The Pursuit of Happyness,2006,https://boxd.it/28PE,4
2026-01-07,Jurassic World,2015,https://boxd.it/4n0g,2.5
2026-01-07,Saving Private Ryan,1998,https://boxd.it/29ro,4.5
2026-01-07,Chungking Express,1994,https://boxd.it/1UDa,5
2026-01-07,The Martian,2015,https://boxd.it/8SeG,3.5
2026-01-07,Kung Fu Panda,2008,https://boxd.it/1Yws,3.5
2026-01-07,The Lego Movie,2014,https://boxd.it/4pDO,3
2026-01-07,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS,3
2026-01-07,Thor: Ragnarok,2017,https://boxd.it/8MHi,3.5
2026-01-07,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,3
2026-01-07,Thor,2011,https://boxd.it/1WQU,2.5
2026-01-07,Bohemian Rhapsody,2018,https://boxd.it/f1TK,4.5
2026-01-07,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,3
2026-01-07,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,2.5
2026-01-07,Despicable Me,2010,https://boxd.it/1DD8,3.5
2026-01-07,Moneyball,2011,https://boxd.it/glS,4
2026-01-07,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2026-01-07,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4
2026-01-07,Smile,2022,https://boxd.it/xjfE,3.5
2026-01-07,Zombieland,2009,https://boxd.it/1En6,2.5
2026-01-07,Killers of the Flower Moon,2023,https://boxd.it/gHp0,3
2026-01-07,Captain Marvel,2019,https://boxd.it/9vSA,2
2026-01-07,Saw,2004,https://boxd.it/2aWW,3.5
2026-01-07,Thor: The Dark World,2013,https://boxd.it/2DqA,2
2026-01-07,Ant-Man,2015,https://boxd.it/3vmW,3
2026-01-07,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,3.5
2026-01-07,Jujutsu Kaisen 0,2021,https://boxd.it/uvFS,3.5
2026-01-07,Ted,2012,https://boxd.it/2pgc,4
2026-01-07,Elvis,2022,https://boxd.it/mK4w,4.5
2026-01-07,Yesterday,2019,https://boxd.it/iF7M,3
2026-01-07,Citizen Kane,1941,https://boxd.it/71O,3
2026-01-07,John Wick: Chapter 4,2023,https://boxd.it/mh48,3.5
2026-01-07,Chernobyl,2019,https://boxd.it/mkbG,4.5
2026-01-07,Kung Fu Panda 2,2011,https://boxd.it/G36,3
2026-01-07,Venom,2018,https://boxd.it/b8wA,2.5
2026-01-07,The Suicide Squad,2021,https://boxd.it/fw6O,4
2026-01-07,Minions,2015,https://boxd.it/6jCO,3.5
2026-01-07,Constantine,2005,https://boxd.it/2a7E,4
2026-01-07,Airplane!,1980,https://boxd.it/29yu,3
2026-01-07,Eternals,2021,https://boxd.it/j36o,2.5
2026-01-07,World War Z,2013,https://boxd.it/2p2E,3
2026-01-07,The Fault in Our Stars,2014,https://boxd.it/6BQa,3.5
2026-01-07,Into the Wild,2007,https://boxd.it/22m2,3.5
2026-01-07,Creed,2015,https://boxd.it/a2qk,3.5
2026-01-07,I Am Legend,2007,https://boxd.it/21DG,3
2026-01-07,Edge of Tomorrow,2014,https://boxd.it/4pD0,3.5
2026-01-07,Dumb and Dumber,1994,https://boxd.it/206m,3.5
2026-01-07,Man of Steel,2013,https://boxd.it/FRk,3
2026-01-07,Vinland Saga,2019,https://boxd.it/qdwU,4.5
2026-01-07,1917,2019,https://boxd.it/jj4y,4.5
2026-01-07,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2026-01-07,Vanilla Sky,2001,https://boxd.it/27TK,4.5
2026-01-07,The Big Lebowski,1998,https://boxd.it/2b6C,4.5
2026-01-07,Rocky IV,1985,https://boxd.it/28T2,3.5
2026-01-07,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4.5
2026-01-07,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2026-01-08,Parasite,2019,https://boxd.it/hTha,4.5
2026-01-08,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4.5
2026-01-08,3 Idiots,2009,https://boxd.it/1Dsa,4
2026-01-08,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2026-01-08,PK,2014,https://boxd.it/9q1G,4
2026-01-08,The Shawshank Redemption,1994,https://boxd.it/2aHi,4
2026-01-08,Zodiac,2007,https://boxd.it/27MO,3
2026-01-08,No Country for Old Men,2007,https://boxd.it/21ew,4
2026-01-08,Scarface,1983,https://boxd.it/2b7g,4
2026-01-08,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2026-01-08,A Quiet Place,2018,https://boxd.it/fVJQ,3.5
2026-01-08,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,3.5
2026-01-08,Aquaman,2018,https://boxd.it/9ru0,3
2026-01-08,300,2006,https://boxd.it/28XI,3.5
2026-01-08,Ted 2,2015,https://boxd.it/6oCY,3
2026-01-08,Mera Naam Joker,1970,https://boxd.it/1BQY,4.5
2026-01-08,Shree 420,1955,https://boxd.it/HgU,3.5
2026-01-08,Masaan,2015,https://boxd.it/b6x2,4
2026-01-08,Veer-Zaara,2004,https://boxd.it/24C2,4
2026-01-08,Anand,1971,https://boxd.it/1uhM,5
2026-01-09,Avatar,2009,https://boxd.it/1Efm,3
2026-01-09,Knives Out,2019,https://boxd.it/jWEA,4
2026-01-09,Thunderbolts*,2025,https://boxd.it/BfbQ,3
2026-01-09,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2026-01-10,Beautiful Boy,2018,https://boxd.it/g76Q,4.5
2026-01-12,Collateral,2004,https://boxd.it/28F0,3.5
2026-01-12,Rockstar,2011,https://boxd.it/2Lvo,5
2026-01-28,Marty Supreme,2025,https://boxd.it/Off0,4.5
2026-02-14,The Big Short,2015,https://boxd.it/ajZw,4
2026-02-15,Samapti (The Conclusion),1961,https://boxd.it/vdDQ,3
2026-02-17,BlackBerry,2023,https://boxd.it/CoVK,4.5
2026-02-18,Springsteen: Deliver Me from Nowhere,2025,https://boxd.it/KJG8,4
2026-02-25,One Battle After Another,2025,https://boxd.it/DUHM,4
2026-03-10,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4.5
2026-03-20,After Hours,1985,https://boxd.it/1VfS,4
2026-03-20,Godzilla Minus One,2023,https://boxd.it/zu4c,3
2026-03-22,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2
2026-03-22,Yeh Jawaani Hai Deewani,2013,https://boxd.it/5Cmo,3.5
2026-03-23,Dhoom 3,2013,https://boxd.it/QDS,1
2026-03-23,The Breakfast Club,1985,https://boxd.it/27q4,3
2026-03-23,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2026-03-24,Gangs of New York,2002,https://boxd.it/25FG,3.5
2026-03-25,Hell's Paradise,2023,https://boxd.it/MkUS,3.5
2026-03-25,JUJUTSU KAISEN,2020,https://boxd.it/sOve,4
2026-03-26,Princess Mononoke,1997,https://boxd.it/2b4w,4.5
2026-03-27,Train Dreams,2025,https://boxd.it/LdDo,4.5
2026-03-28,Begin Again,2013,https://boxd.it/5Ybs,3
2026-03-29,Pulse,2001,https://boxd.it/1s3y,2.5
2026-03-29,Whiplash,2014,https://boxd.it/7bQA,4.5
2026-03-29,The Great Dictator,1940,https://boxd.it/29ic,3.5
