Name,Letterboxd URI
Marty Supreme (2025),https://letterboxd.com/film/marty-supreme
Chainsaw Man – The Movie: Reze Arc (2025),https://letterboxd.com/film/chainsaw-man-the-movie-reze-arc
One Battle After Another (2025),https://letterboxd.com/film/one-battle-after-another
Springsteen: Deliver Me from Nowhere (2025),https://letterboxd.com/film/springsteen-deliver-me-from-nowhere
Bugonia (2025),https://letterboxd.com/film/bugonia
The Fantastic 4: First Steps (2025),https://letterboxd.com/film/the-fantastic-4-first-steps
Demon Slayer: Kimetsu no Yaiba Infinity Castle (2025),https://letterboxd.com/film/demon-slayer-kimetsu-no-yaiba-infinity-castle
Materialists (2025),https://letterboxd.com/film/materialists
The Phoenician Scheme (2025),https://letterboxd.com/film/the-phoenician-scheme
Thunderbolts* (2025),https://letterboxd.com/film/thunderbolts
Train Dreams (2025),https://letterboxd.com/film/train-dreams
A Complete Unknown (2024),https://letterboxd.com/film/a-complete-unknown
Joker: Folie à Deux (2024),https://letterboxd.com/film/joker-folie-a-deux
Deadpool & Wolverine (2024),https://letterboxd.com/film/deadpool-wolverine
The Substance (2024),https://letterboxd.com/film/the-substance
The Fall Guy (2024),https://letterboxd.com/film/the-fall-guy-2024
Dune: Part Two (2024),https://letterboxd.com/film/dune-part-two
A Real Pain (2024),https://letterboxd.com/film/a-real-pain
Anyone But You (2023),https://letterboxd.com/film/anyone-but-you
Godzilla Minus One (2023),https://letterboxd.com/film/godzilla-minus-one
The Boy and the Heron (2023),https://letterboxd.com/film/the-boy-and-the-heron
Oppenheimer (2023),https://letterboxd.com/film/oppenheimer-2023
Spider-Man: Across the Spider-Verse (2023),https://letterboxd.com/film/spider-man-across-the-spider-verse
Killers of the Flower Moon (2023),https://letterboxd.com/film/killers-of-the-flower-moon
Hell's Paradise (2023),https://letterboxd.com/film/hells-paradise
John Wick: Chapter 4 (2023),https://letterboxd.com/film/john-wick-chapter-4
BlackBerry (2023),https://letterboxd.com/film/blackberry-2023
Smile (2022),https://letterboxd.com/film/smile-2022
Elvis (2022),https://letterboxd.com/film/elvis-2022
Top Gun: Maverick (2022),https://letterboxd.com/film/top-gun-maverick
The Batman (2022),https://letterboxd.com/film/the-batman
Jujutsu Kaisen 0 (2021),https://letterboxd.com/film/jujutsu-kaisen-0
Spider-Man: No Way Home (2021),https://letterboxd.com/film/spider-man-no-way-home
Eternals (2021),https://letterboxd.com/film/eternals
Dune (2021),https://letterboxd.com/film/dune-2021
The Suicide Squad (2021),https://letterboxd.com/film/the-suicide-squad
Zack Snyder's Justice League (2021),https://letterboxd.com/film/zack-snyders-justice-league
Soul (2020),https://letterboxd.com/film/soul-2020
JUJUTSU KAISEN (2020),https://letterboxd.com/film/jujutsu-kaisen
Tenet (2020),https://letterboxd.com/film/tenet
1917 (2019),https://letterboxd.com/film/1917
Jojo Rabbit (2019),https://letterboxd.com/film/jojo-rabbit
Knives Out (2019),https://letterboxd.com/film/knives-out-2019
Joker (2019),https://letterboxd.com/film/joker-2019
Vinland Saga (2019),https://letterboxd.com/film/vinland-saga
Spider-Man: Far From Home (2019),https://letterboxd.com/film/spider-man-far-from-home
Parasite (2019),https://letterboxd.com/film/parasite-2019
Chernobyl (2019),https://letterboxd.com/film/chernobyl
Yesterday (2019),https://letterboxd.com/film/yesterday-2019
Pokémon Detective Pikachu (2019),https://letterboxd.com/film/pokemon-detective-pikachu
Avengers: Endgame (2019),https://letterboxd.com/film/avengers-endgame
Captain Marvel (2019),https://letterboxd.com/film/captain-marvel
How to Train Your Dragon: The Hidden World (2019),https://letterboxd.com/film/how-to-train-your-dragon-the-hidden-world
Spider-Man: Into the Spider-Verse (2018),https://letterboxd.com/film/spider-man-into-the-spider-verse
Aquaman (2018),https://letterboxd.com/film/aquaman-2018
Bohemian Rhapsody (2018),https://letterboxd.com/film/bohemian-rhapsody
Venom (2018),https://letterboxd.com/film/venom-2018
Beautiful Boy (2018),https://letterboxd.com/film/beautiful-boy-2018
Crazy Rich Asians (2018),https://letterboxd.com/film/crazy-rich-asians
Jurassic World: Fallen Kingdom (2018),https://letterboxd.com/film/jurassic-world-fallen-kingdom
Deadpool 2 (2018),https://letterboxd.com/film/deadpool-2
Avengers: Infinity War (2018),https://letterboxd.com/film/avengers-infinity-war
A Quiet Place (2018),https://letterboxd.com/film/a-quiet-place-2018
Jumanji: Welcome to the Jungle (2017),https://letterboxd.com/film/jumanji-welcome-to-the-jungle
Thor: Ragnarok (2017),https://letterboxd.com/film/thor-ragnarok
It (2017),https://letterboxd.com/film/it-2017
Dunkirk (2017),https://letterboxd.com/film/dunkirk-2017
Baby Driver (2017),https://letterboxd.com/film/baby-driver
The Lego Batman Movie (2017),https://letterboxd.com/film/the-lego-batman-movie
Get Out (2017),https://letterboxd.com/film/get-out-2017
Doctor Strange (2016),https://letterboxd.com/film/doctor-strange-2016
Arrival (2016),https://letterboxd.com/film/arrival-2016